Longitude,Latitude,Store Name,Full Address,Street,City,State,Zip,Country
-80.144465,25.957928,LEGO: Costa Mesa (CA) - South Coast Plaza  714-668-9017,"3333 Bristol St #1042, Costa Mesa, CA 92626",3333 Bristol St #1042,Costa Mesa,CA,92626,USA
-97.808508,30.257377,LEGO: Glendale (CA) - Glendale Galleria  818-549-0733,"2130 Glendale Galleria, Glendale, California 91210",2130 Glendale Galleria,Glendale,CA,91210,USA
-95.146769,29.541491,LEGO: Los Angeles (CA) - Century City Mall  310-203-9694,"10250 Santa Monica Blvd #2970, Los Angeles, CA 90067",10250 Santa Monica Blvd #2970,Los Angeles,CA,90067,USA
-81.493354,41.49929,LEGO: Mission Viejo (CA) - The Shops At Mission Viejo  949-347-6867,"555 The Shops at Mission Viejo, Space 428b, Mission Viejo, CA 92691",555 The Shops at Mission Viejo,Mission Viejo,CA,92691,USA
-122.205363,47.616054,LEGO: Ontario (CA) - Ontario Mills  909-758-9303,"1 Mills Circle, Ontario, CA 91764",1 Mills Circle,Ontario,CA,91764,USA
-74.620616,40.586461,LEGO: Pleasanton (CA) - Stoneridge Mall  925-737-0704,"1444 Stoneridge Mall, Space D117A, Pleasanton, CA 94588",1444 Stoneridge Mall,Pleasanton,CA,94588,USA
-71.2149,42.482598,LEGO: Roseville (CA) - Westfield Galleria @ Roseville  916-771-2069,"1151 Galleria Blvd, #116, Roseville, CA 95678",1151 Galleria Blvd,Roseville,CA,95678,USA
-86.066816,39.907987,LEGO: San Diego (CA) - Fashion Valley  619-294-9437,"7007 Friars Rd, San Diego, California 92108",7007 Friars Rd,San Diego,CA,92108,USA
-118.4192497,34.05944572,LEGO: San Diego (CA) - UTC Mall  858-824-9170,"4545 La Jolla Village Dr, San Diego, CA 92122",4545 La Jolla Village Dr,San Diego,CA,92122,USA
-75.026293,39.940051,LEGO: San Mateo (CA) - Hillsdale SC  650-571-9020,"341 Hillsdale Mall, San Mateo, California 94403",341 Hillsdale Mall,San Mateo,CA,94403,USA
-75.650652,39.677291,LEGO: Santa Clara (CA) - Westfield Valley Fair  408-247-8071,"2855 Stevens Creek Blvd, Santa Clara, CA 95050",2855 Stevens Creek Blvd,Santa Clara,CA,95050,USA
-105.161625,39.730227,LEGO: Lakewood (CO) - Colorado Mills  303-590-1450,"14500 W Colfax Ave, Lakewood, CO 80401",14500 W Colfax Ave,Lakewood,CO,80401,USA
-90.448836,38.60166,LEGO: Lone Tree (CO) - Park Meadows  303-792-3228,"8401 Park Meadows Center Dr #1175, Lone Tree, CO 80124",8401 Park Meadows Center Dr #1175,Lone Tree,CO,80124,USA
-78.67875,35.841057,LEGO: Danbury (CT) - Danbury Fair  203-794-1294,"7 Backus Ave Unit E207, Danbury, CT 06810",7 Backus Ave Unit E207,Danbury,CT,6810,USA
-81.95351404,41.45975569,LEGO: West Hartford (CT) - Westfarms Mall  860-521-3905,"1500 New Britain Ave #d112, West Hartford, CT 06032",1500 New Britain Ave #d112,West Hartford,CT,6032,USA
-73.851687,42.688965,LEGO: Newark (DE) - Christiana Mall  302-453-1897,"132 Christiana Mall #1547, Newark, DE 19702",132 Christiana Mall #1547,Newark,DE,19702,USA
-80.313528,25.688895,LEGO: Boca Raton (FL) - Town Center  561-609-1628,"6000 Glades Rd #1043, Boca Raton, FL 33431",6000 Glades Rd #1043,Boca Raton,FL,33431,USA
-73.481579,41.379172,LEGO: Brandon (FL) - Brandon Exchange  813-643-4242,"459 Brandon Town Center Dr #578, Brandon, FL 33511",459 Brandon Town Center Dr #578,Brandon,FL,33511,USA
-76.171068,43.067247,LEGO: Jacksonville (FL) - St Johns TC  904-996-0686,"4764 River City Dr #100, Jacksonville, FL 32246",4764 River City Dr #100,Jacksonville,FL,32246,USA
-81.514371,28.37127,LEGO: Lake Buena Vista (FL) - Disney Springs  407-828-0065,"1672 E Buena Vista Dr, Lake Buena Vista, FL 32830",1672 E Buena Vista Dr,Lake Buena Vista,FL,32830,USA
-80.1437156,25.9558732,LEGO: Aventura (FL) - The Abbey   786-615-1970,"19505 Biscayne Blvd #2110, Aventura, FL 33180",19505 Biscayne Blvd #2110,Aventura,FL,33180,USA
-82.91498,40.051826,LEGO: Miami (FL) - Dadeland Mall  305-661-2027,"7535 N Kendall Dr #1850, Miami, FL 33156",7535 N Kendall Dr #1850,Miami,FL,33156,USA
-77.441115,43.02958,LEGO: Sunrise (FL) - Sawgrass Mills  954-514-5806,"12801 W Sunrise Blvd, Space 1011, Sunrise, FL 33323",12801 W Sunrise Blvd,Sunrise,FL,33323,USA
-81.69141276,27.98988058,LEGO: Winter Haven (FL) - LEGOLAND  888-690-5346,"1 Legoland Way, Winter Haven, FL 33884",1 Legoland Way,Winter Haven,FL,33884,USA
-84.3409309,33.92452137,LEGO: Atlanta (GA) - Perimeter Mall  678-750-6302,"4400 Ashford Dunwoody Rd NE #2645 Atlanta, GA 30346",4400 Ashford Dunwoody Rd NE #2645 Atlanta,Ashford Dunwoody Rd NE #2645 Atlanta,GA,30346,USA
-111.889031,40.635971,LEGO: Lawrenceville (GA) - Sugarloaf Mills  678-847-6078,"5900 Sugarloaf Pkwy, Lawrenceville, GA 30043",5900 Sugarloaf Pkwy,Lawrenceville,GA,30043,USA
-115.168525,36.126762,LEGO: Honolulu (HI) - Ala Moana Center  808-942-5346,"1450 Ala Moana Blvd #2032, Honolulu, HI 96814",1450 Ala Moana Blvd #2032,Honolulu,HI,96814,USA
-93.80542251,41.5698518,LEGO: West Des Moines (IA) - Jordan Creek TC  515-561-5334,"101 Jordan Creek Pkwy, West Des Moines, IA 50266",101 Jordan Creek Pkwy,West Des Moines,IA,50266,USA
-116.3494968,43.62218324,LEGO: Meridian (ID) - Village  208-974-7189,"3540 E Longwing Ln #140, Meridian, ID 83646",3540 E Longwing Ln #140,Meridian,ID,83646,USA
-117.1643,32.770018,LEGO: Chicago (IL) - Water Tower Place  312-202-0946,"835 North Michigan Ave #3000, Chicago, IL 60611",835 North Michigan Ave #3000,Chicago,IL,60611,USA
-73.97714503,40.7591492,LEGO: Gurnee (IL) - Gurnee Mills  847-855-2833,"6170 W Grand Ave #761, Gurnee, IL 60031",6170 W Grand Ave #761,Gurnee,IL,60031,USA
-87.74868484,42.05730084,LEGO: Skokie (IL) - Old Orchard SC  224-309-2278,"4905 Old Orchard Shopping Ctr suite k12b, Skokie, IL 60077",4905 Old Orchard Shopping Ctr suite k12b,Skokie,IL,60077,USA
-74.301403,40.253288,LEGO: Orland Park (IL) - Orland Square  708-226-0808,"732 Orland Square, Orland Park, IL 60462",732 Orland Square,Orland Park,IL,60462,USA
-74.07489602,40.91637141,LEGO: Schaumburg (IL) - Woodfield Mall  847-517-1640,"5 Woodfield Mall, Schaumburg, IL 60173",5 Woodfield Mall,Schaumburg,IL,60173,USA
-118.257979,34.145134,LEGO: Indianapolis (IN) - Castleton Square  317-845-9325,"6020 E 82nd St, Indianapolis, IN 46250",6020 E 82nd St,Indianapolis,IN,46250,USA
-87.960836,42.389942,LEGO: Overland Park (KS) - Oak Park Mall  913-310-0002,"11149 West 95th St Space 18a, Overland Park, KS 66214",11149 West 95th St Space 18a,Overland Park,KS,66214,USA
-82.333924,34.850891,LEGO: Louisville (KY) - Oxmoor Center  502-963-0507,"7900 Shelbyville Rd, B7, Louisville, KY 40222",7900 Shelbyville Rd,Louisville,KY,40222,USA
-122.300893,37.536943,LEGO: Metairie (LA) - Lakeside Mall  504-831 0815,"3301 Veterans Memorial Blvd, #72, Metairie, LA 70002",3301 Veterans Memorial Blvd,Metairie,LA,70002,USA
-71.07945617,42.39488722,LEGO: Somerville (MA) - Discovery Center Boston  617-702-5593,"598 Assembly Row, Somerville, MA 02145",598 Assembly Row,Somerville,MA,2145,USA
-95.46275478,29.73984986,LEGO: Braintree (MA) - South Shore Plaza  781-356-6501,"250 Granite St #1064, Braintree, MA 02184",250 Granite St #1064,Braintree,MA,2184,USA
-84.376724,39.2039,LEGO: Burlington (MA) - Burlington Mall  781-273-3030,"75 Middlesex Tpke, Burlington, MA 01803",75 Middlesex Tpke,Burlington,MA,1803,USA
-71.17762474,42.23112871,LEGO: Dedham (MA) - Legacy Place  781-355-5875,"720 Legacy Pl Building P #720, Dedham, MA 02026",720 Legacy Pl Building P #720,Dedham,MA,2026,USA
-75.393423,40.08554,LEGO: Natick (MA) - Natick Mall  508-651-2330,"1245 Worcester St #2100, Natick, MA 01760",1245 Worcester St #2100,Natick,MA,1760,USA
-98.235444,26.185974,LEGO: Peabody (MA) - Northshore Mall  978-532-2541,"210 Andover St #169C, Peabody, MA 01960",210 Andover St #169C,Peabody,MA,1960,USA
-90.158021,30.003722,LEGO: Annapolis (MD) - Westfield Annapolis  410-224-0061,"1260 Annapolis Mall, Annapolis, MA 21401",1260 Annapolis Mall,Annapolis,MA,21401,USA
-93.242913,44.852497,LEGO: Bethesda (MD) - Westfield Montgomery  301-469-4759,"7101 Democracy Blvd, Space 1232, Bethesda, MA 20817",7101 Democracy Blvd,Bethesda,MA,20817,USA
-88.045501,43.062558,LEGO: Hanover (MD) - Arundel Mills  410-379-5245,"7000 Arundel Mills Circle, Hanover, MA 21076",7000 Arundel Mills Circle,Hanover,MA,21076,USA
-71.382092,42.300452,LEGO: Troy (MI) - Somerset Collection  248-816-3350,"2800 West Big Beaver Rd, Troy, MI 48084",2800 West Big Beaver Rd,Troy,MI,48084,USA
-85.58909849,42.91491802,LEGO: Grand Rapids (MI) - Woodland Mall  616-221-3726,"3115 28th St SE #F-104, Grand Rapids, MI 49512",3115 28th St SE #F-104,Grand Rapids,MI,49512,USA
-84.293957,34.049294,LEGO: Bloomington (MN) - Mall Of America  952-858-8949,"164 South Ave, Bloomington, MN 55425",164 South Ave,Bloomington,MN,55425,USA
-93.4369882,44.96827235,LEGO: Minnetonka (MN) - Ridgedale Center  952-460-1485,"12267 Wayzata Blvd, Minnetonka, MN 55305",12267 Wayzata Blvd,Minnetonka,MN,55305,USA
-98.499066,29.51788,LEGO: Des Peres (MO) - West County Center  314-966-9823,"55 West County Center, Des Peres, MO 63131",55 West County Center,Des Peres,MO,63131,USA
-87.816137,42.149652,LEGO: Charlotte (NC) - Southpark Mall  704-366-4721,"4400 Sharon Rd M05, Charlotte, NC 28211",4400 Sharon Rd M05,Charlotte,NC,28211,USA
-96.773409,32.866528,LEGO: Concord (NC) - Concord Mills  704-979-5708,"8111 Concord Mills Blvd #206, Concord, NC 28027",8111 Concord Mills Blvd #206,Concord,NC,28027,USA
-70.942581,42.540755,LEGO: Raleigh (NC) - Crabtree Valley Mall  919-787-5771,"4325 Glenwood Ave #1078, Raleigh, NC 27612",4325 Glenwood Ave #1078,Raleigh,NC,27612,USA
-96.249802,41.09890602,LEGO: Gretna (NE) - Nebraska Crossing  402-831-3447,"21317 Nebraska Crossing Dr Suite E145, Gretna, NE 68028",21317 Nebraska Crossing Dr Suite E145,Gretna,NE,68028,USA
-94.718445,38.954239,LEGO: Nashua (NH) - Pheasant Lane Mall  603-888-0069,"310 Daniel Webster Hwy Space W137, Nashua, NH 03060",310 Daniel Webster Hwy Space W137,Nashua,NH,3060,USA
-74.0691837,40.80885561,LEGO: East Rutherford (NJ) - American Dream (LEGOLAND)  551-234-6381,"1 American Dream Wy Suite A, East Rutherford, NJ 07073",1 American Dream Wy Suite A,East Rutherford,NJ,7073,USA
-117.552021,34.071996,LEGO: Bridgewater (NJ) - Bridgewater Commons  908-541-0240,"400 Commons Way, Bridgewater, NJ 08807",400 Commons Way,Bridgewater,NJ,8807,USA
-86.693528,36.202518,LEGO: Cherry Hill (NJ) - Cherry Hill Mall  856-662-1705,"2000 RTE 38 #1095, Cherry Hill, NJ 08002",2000 RTE 38 #1095,Cherry Hill,NJ,8002,USA
-87.849913,41.620119,LEGO: Elizabeth (NJ) - The Mills At Jersey Gardens  908-351-0150,"651 Kapkowski Rd #1462, Elizabeth, NJ 07201",651 Kapkowski Rd #1462,Elizabeth,NJ,7201,USA
-85.610518,38.24794,LEGO: Freehold (NJ) - Freehold Raceway Mall  732-577-1031,"3710 Route 9, Unit 232, Freehold, NJ 07728",3710 Route 9,Freehold,NJ,7728,USA
-73.956106,41.096257,LEGO: Paramus (NJ) - Garden State Plaza  201-843-2063,"1 Garden State Plaza, Paramus, NJ 07652",1 Garden State Plaza,Paramus,NJ,7652,USA
-115.3337819,36.15058865,LEGO: Las Vegas (NV) - Downtown Summerlin  725-257-4104,"1955 Festival Plaza Dr #160, Las Vegas, NV 89135",1955 Festival Plaza Dr #160,Las Vegas,NV,89135,USA
-104.875268,39.563416,LEGO: Las Vegas (NV) - Fashion Show Mall  702-734-0290,"3200 South Las Vegas Blvd #1520, Las Vegas, NV 89109",3200 South Las Vegas Blvd #1520,Las Vegas,NV,89109,USA
-97.5444244,35.52549001,LEGO: Albany (NY) - Crossgates Mall  518-456-1809,"1 Crossgates Mall Rd, C-107, Albany, NY 12203",1 Crossgates Mall Rd,Albany,NY,12203,USA
-71.43759745,42.70128909,LEGO: Buffalo (NY) - Walden Galleria  716-681-0290,"1 Walden Galleria #D116, Buffalo, NY 14225",1 Walden Galleria #D116,Buffalo,NY,14225,USA
-77.297301,38.64576,LEGO: Garden City (NY) - Roosevelt Field Mall  516-746-3625,"630 Old Country Rd, Space 1057, Garden City, NY 11530",630 Old Country Rd,Garden City,NY,11530,USA
-74.31476526,41.37875099,LEGO: Goshen (NY) - LEGOLAND - NY Resort  845-410-0290,"1 Legoland Blvd, Goshen, NY 10924",1 Legoland Blvd,Goshen,NY,10924,USA
-71.415391,41.828286,LEGO: Lake Grove (NY) - Smith Haven Mall  631-863-8063,"313 Smith Haven Mall #E08b, Lake Grove, NY 11755",313 Smith Haven Mall #E08b,Lake Grove,NY,11755,USA
-73.97799,40.75883,LEGO: New York (NY) - Fifth Avenue  212-245-3248,"636 Fifth Ave, New York, NY 10020",636 Fifth Ave,New York,NY,10020,USA
-80.008003,40.539038,LEGO: New York (NY) - Flatiron District  212-255-3217,"200 5th Ave, New York, NY 10010",200 5th Ave,New York,NY,10010,USA
-80.322936,26.149132,LEGO: New York (NY) - Staten Island Mall  718-494-4585,"2655 Richmond Ave #1285, New York, NY 10314",2655 Richmond Ave #1285,New York,NY,10314,USA
-73.131991,40.865154,LEGO: Syracuse (NY) - Destiny USA  315-472-0861,"9090 Destiny USA Dr #F210, Syracuse, NY 13204",9090 Destiny USA Dr #F210,Syracuse,NY,13204,USA
-83.18392,42.560511,LEGO: Victor (NY) - Eastview Mall  585-223-9686,"7979 Pittsford Victor Rd #131B, Victor, NY 14564",7979 Pittsford Victor Rd #131B,Victor,NY,14564,USA
-117.887059,33.690464,LEGO: West Nyack (NY) - Palisades Center  845-358-2222,"3462 Palisades Center Dr, West Nyack, NY 10994",3462 Palisades Center Dr,West Nyack,NY,10994,USA
-71.02609,42.221165,LEGO: White Plains (NY) - The Westchester  914-259-8282,"125 Westchester Ave #3220, White Plains, NY 10601",125 Westchester Ave #3220,White Plains,NY,10601,USA
-80.829878,35.151683,LEGO: Beachwood (OH) - Beachwood Place  216-378-2060,"26300 Cedar Rd, Beachwood, OH 44122",26300 Cedar Rd,Beachwood,OH,44122,USA
-81.525598,30.256062,LEGO: Cincinnati (OH) - Kenwood TC  513-791-4241,"7875 Montgomery Rd #2109, Cincinnati, OH 45236",7875 Montgomery Rd #2109,Cincinnati,OH,45236,USA
-74.164366,40.582062,LEGO: Columbus (OH) - Easton TC  614-342-2710,"4004 Gramercy St #728, Columbus, OH 43219",4004 Gramercy St #728,Columbus,OH,43219,USA
-96.81086,33.098459,LEGO: Westlake (OH) - Crocker Park  440-617-9546,"276 Crocker Park Blvd, Westlake, OH 44145",276 Crocker Park Blvd,Westlake,OH,44145,USA
-95.88072838,36.06294533,LEGO: Tulsa (OK) - Woodland Hills Mall  918-475-8003,"7021 S Memorial #186, Tulsa, OK 74133",7021 S Memorial #186,Tulsa,OK,74133,USA
-121.929298,37.694377,LEGO: Oklahoma City (OK) - Penn Square Mall  405-840-9993,"1901 Northwest Expy #1058B, Oklahoma City, OK 73118",1901 Northwest Expy #1058B,Oklahoma City,OK,73118,USA
-84.081003,33.98189,LEGO: Tigard (OR) - Washington Square  503-670-9109,"9410 SW Washington Sq Rd, Tigard, OR 97223",9410 SW Washington Sq Rd,Tigard,OR,97223,USA
-74.173539,40.661034,LEGO: King of Prussia (PA) - King Of Prussia Mall  610-337-3203,"160 N Gulph Rd Space 1308A, King of Prussia, PA 19406",160 N Gulph Rd Space 1308A,King of Prussia,PA,19406,USA
-117.6681,33.558494,LEGO: Pittsburgh (PA) - Ross Park Mall  412-837 4125,"1000 Ross Park Mall Dr #D04, Pittsburgh, PA 15237",1000 Ross Park Mall Dr #D04,Pittsburgh,PA,15237,USA
-73.760128,41.032401,LEGO: Providence (RI) - Providence Place  401-490-0757,"97 Providence Place #3165, Providence, RI 02903",97 Providence Place #3165,Providence,RI,2903,USA
-95.453628,30.1637,LEGO: Greenville (SC) - Haywood Mall  864-288-5449,"700 Haywood Rd #1016A, Greenville, SC 29607",700 Haywood Rd #1016A,Greenville,SC,29607,USA
-86.8135968,35.95635492,LEGO: Franklin (TN) - CoolSprings Galleria  629-899-7406,"1800 Galleria Blvd #2360, Franklin, TN 37067",1800 Galleria Blvd #2360,Franklin,TN,37067,USA
-80.130924,26.365431,LEGO: Nashville (TN) - Opry Mills Mall  615-649-0838,"416 Opry Mills Dr #220, Nashville, TN 37214",416 Opry Mills Dr #220,Nashville,TN,37214,USA
-77.221285,38.916766,LEGO: Austin (TX) - Barton Creek Square  512-327-7100,"2901 S Capital of Texas Hwy, Austin, TX 78746",2901 S Capital of Texas Hwy,Austin,TX,78746,USA
-117.213498,32.872597,LEGO: Dallas (TX) - Northpark Center  214-750-6422,"8687 N Central Expy #770, Dallas, TX 75225",8687 N Central Expy #770,Dallas,TX,75225,USA
-78.762552,42.911669,LEGO: Friendswood (TX) - Baybrook Mall  281-282-1302,"500 Baybrook Mall, Friendswood, TX 77546",500 Baybrook Mall,Friendswood,TX,77546,USA
-122.77998,45.450781,LEGO: Frisco (TX) - Stonebriar Centre  972-668-3859,"2601 Preston Rd #1222, Frisco, TX 75034",2601 Preston Rd #1222,Frisco,TX,75034,USA
-87.62399,41.897995,LEGO: Houston (TX) - Houston Galleria  713-439-0773,"5015 Westheimer Rd #A3319, Houston, TX 77056",5015 Westheimer Rd #A3319,Houston,TX,77056,USA
-90.448117,38.601969,LEGO: Houston (TX) - Willowbrook Mall  281-970-6609,"1568 Willowbrook Mall, Houston, TX 77070",1568 Willowbrook Mall,Houston,TX,77070,USA
-72.761444,41.723903,LEGO: McAllen (TX) - La Plaza Mall  956-429-3323,"2200 S 10th St #R02, McAllen, TX 78503",2200 S 10th St #R02,McAllen,TX,78503,USA
-98.61566817,29.59188731,LEGO: San Antonio (TX) - La Cantera  830-241-1036,"15900 La Cantera Pkwy #8865, San Antonio, TX 78256",15900 La Cantera Pkwy #8865,San Antonio,TX,78256,USA
-76.541914,38.988153,LEGO: San Antonio (TX) - North Star Mall  210-979-0475,"7400 San Pedro Ave, San Antonio, TX 78216",7400 San Pedro Ave,San Antonio,TX,78216,USA
-82.327059,27.931764,LEGO: The Woodlands (TX) - Woodlands Mall  281-292-8605,"1201 Lake Woodlands Dr #01182, The Woodlands, TX 77380",1201 Lake Woodlands Dr #01182,The Woodlands,TX,77380,USA
-121.268269,38.774448,LEGO: Murray (UT) - Fashion Place Mall  801-266-3670,"6191 S State St, Murray, UT 84107",6191 S State St,Murray,UT,84107,USA
-111.907912,40.98466234,LEGO: Farmington (UT) - Station Park  385-758-8041,"235 W Promontory, Farmington, UT 84025",235 W Promontory,Farmington,UT,84025,USA
-77.148712,39.022572,LEGO: Arlington (VA) - Fashion Centre @ Pentagon City  703-413-5039,"1100 S Hayes St Space 0G07B, Arlington, VA 22202",1100 S Hayes St Space 0G07B,Arlington,VA,22202,USA
-77.2217759,38.91826842,LEGO: McLean (VA) - Tysons Corner  571-648-0127,"1961 Chain Bridge Rd Mall D7L, McLean, VA 22102",1961 Chain Bridge Rd Mall D7L,McLean,VA,22102,USA
-122.258449,47.457515,LEGO: Woodbridge (VA) - Potomac Mills  703-490-1335,"2700 Potomac Mills Circle Ste 767, Woodbridge, VA 22192",2700 Potomac Mills Circle Ste 767,Woodbridge,VA,22192,USA
-76.13372395,36.84166044,LEGO: Virgina Beach (VA) -   757-910-0389,"172 Central Park Ave, Virginia Beach, VA 23462",172 Central Park Ave,Virginia Beach,VA,23462,USA
-77.17491655,38.77484589,LEGO: Springfield (VA) - Discover Center TC  571-506-4322,"6563 Springfield Mall #12004, Springfield, VA 22150",6563 Springfield Mall #12004,Springfield,VA,22150,USA
-118.605632,34.191148,LEGO: Bellevue (WA) - Bellevue Sq Mall  425-451-2271,"119 Bellevue Square, Bellevue, WA 98004",119 Bellevue Square,Bellevue,WA,98004,USA
-121.943504,37.326449,LEGO: Lynnwood (WA) - Alderwood  425-640-2281,"3000 184th St SW #428, Lynnwood, WA 98037",3000 184th St SW #428,Lynnwood,WA,98037,USA
-95.539924,29.960033,LEGO: Tukwila (WA) - Westfield Southcenter  206-243-1554,"633 Southcenter Mall, #837, Tukwila, WA 98188",633 Southcenter Mall,Tukwila,WA,98188,USA
-117.4227909,47.65920383,LEGO: Spokane (WA) - River Park Sq  509-213-5283,"808 W Main Ave #121, Spokane, WA 99201",808 W Main Ave #121,Spokane,WA,99201,USA
-88.037279,42.047928,LEGO: Wauwatosa (WI) - Mayfair  414-778-0280,"2500 N Mayfair Rd #635, Wauwatosa, WI 53226",2500 N Mayfair Rd #635,Wauwatosa,WI,53226,USA
-114.072683,50.997884,LEGO: Calgary (AB) - Chinook Centre  403-252-5346,"6455 Macleod Trail SW, SP 203, Calgary AB T2H 0K8",6455 Macleod Trail SW,Calgary,AB,T2H 0K8,CAN
-113.515994,53.485463,LEGO: Edmonton (AB) - Southgate Centre  780-437-4567,"5015-111 St NW, Space #424, Edmonton AB T6H 4M6",5015-111 St NW,Edmonton,AB,T6H 4M6,CAN
-113.629082,53.522808,LEGO: Edmonton (AB) - West Edmonton  780-444-2490,"8882-170th St Unit #V182, Edmonton AB T5T 4M2",8882-170th St Unit #V182,Edmonton,AB,T5T 4M2,CAN
-123.137507,49.165786,LEGO: Richmond (BC) - Richmond Centre  604-207-6931,"6551 No. 3 Road, #1440, Richmond BC V6Y 2B6",6551 No. 3 Road,Richmond,BC,V6Y 2B6,CAN
-122.80188,49.189057,LEGO: Surrey (BC) - Guildford TC  604-587-6804,"10355 152 St, Surrey BC V3R 7C1",10355 152 St,Surrey,BC,V3R 7C1,CAN
-97.198363,49.881172,LEGO: Winnipeg (MB) - Polo Park  204-774-1801,"1485 Portage Ave Unit 0210A, Winnipeg MB R3G 0W4",1485 Portage Ave Unit 0210A,Winnipeg,MB,R3G 0W4,CAN
-75.692908,45.425691,LEGO: Ottawa (ON) - CF Rideau Centre  613-241-4173,"50 Rideau St, Ottawa ON K1N 9J7",50 Rideau St,Ottawa,ON,K1N 9J7,CAN
-79.344601,43.777189,LEGO: Toronto (ON) - Fairview Mall  416-491-6039,"1800 Sheppard Ave E, Toronto ON M2J 5A7",1800 Sheppard Ave E,Toronto,ON,M2J 5A7,CAN
-79.55493,43.611393,LEGO: Toronto (ON) - Sherway Gardens  416-695-2433,"25 The West Mall #1066, Toronto ON M9C 1B8",25 The West Mall #1066,Toronto,ON,M9C 1B8,CAN
-79.453279,43.72671,LEGO: Toronto (ON) - Yorkdale SC  416-781-9572,"1 Yorkdale Rd Unit 84, Toronto ON M6A 3A1",1 Yorkdale Rd Unit 84,Toronto,ON,M6A 3A1,CAN
-73.752281,45.568799,LEGO: Laval (QC) - Carrefour Laval  450-978-0994,"3035 Blvd Le Carrefour, Laval QC H7T 1C8",3035 Blvd Le Carrefour,Laval,QC,H7T 1C8,CAN
-73.83204,45.462599,LEGO: Pointe Claire (QC) - Fairview Pointe Claire  514-697-2332,"6801 Trans-Canada Hwy, Pointe Claire QC H9R 5J2",6801 Trans-Canada Hwy,Pointe Claire,QC,H9R 5J2,CAN
